Row Index,Standard Deviation,Sample Size
769,11.09455647403664,13.323296295592234
770,11.185726798174528,13.543166309011998
771,11.095988514529935,13.32673595200328
772,11.188320929572022,13.549448748673496
773,11.343139120890624,13.927023652547893
774,11.334149408065402,13.904957392085574
775,11.356071569824127,13.958798489009776
776,11.134009134832267,13.418221061187966
777,11.11920804148508,13.38256951252149
778,11.201456594886523,13.581282927282851
779,11.203365961661072,13.585913371595728
780,11.11881702100095,13.381628300381156
781,11.144686826088709,13.44396997548512
782,11.100615446866447,13.337852539169788
783,11.15002507755336,13.456852254121877
784,11.071977418589983,13.269121740272604
785,11.124624809883107,13.395611437147728
786,10.896780199523077,12.852516717716293
787,10.93757671879099,12.948934094638922
788,10.941050813336005,12.95716132208895
789,10.815570857619194,12.661661235514874
790,11.098911383267792,13.333757846480557
791,10.981450066000017,13.053025250799637
792,11.089253800231942,13.310563526876404
793,11.054446186123501,13.227134680141381
794,11.060945182692372,13.242691926637386
795,11.11531933540666,13.373210612297703
796,11.105938480100175,13.350647299122366
797,11.116921700861452,13.377066608625945
798,10.99569138357733,13.086902892500383
799,10.923225125486482,12.914974851503628
800,10.954797897322148,12.989742303756818
801,10.991005340717358,13.075750756979494
802,10.928906234532866,12.928412359134278
803,10.880389996746771,12.813882015623173
804,10.969065477348224,13.023600139990656
805,11.005350025850818,13.109904125416568
806,10.985044395929545,13.061571400390367
807,11.01758002193275,13.139057794045762
808,11.029913068697919,13.16848990346261
809,11.08673405810613,13.30451526108852
810,10.973069781020294,13.033110516028216
811,10.962693430891624,13.008473440038744
812,10.998841610814548,13.094402670760767
813,11.161605539279964,13.484819453774088
814,11.17493813737603,13.517054073823756
815,11.224195148826594,13.63647792397987
816,11.198721645372663,13.574651720302349
817,11.434808817950348,14.153036011433544
818,11.451526368116491,14.194449392178546
819,11.460006519966674,14.215479890883778
820,11.549212317252334,14.43765057362999
821,11.67646489758108,14.75755981011343
822,11.80797421911195,15.091853766688313
823,11.801751799592607,15.075952122507177
824,11.704618288098098,14.828810180682781
825,11.715804112271865,14.857166803594955
826,11.796839609214247,15.06340474204532
827,11.696760541809462,14.808906598551081
828,11.566811336673336,14.481685106809103
829,11.624605587416234,14.626763827472962
830,11.706890287044775,14.834567619360046
831,11.791465318458402,15.049682986191883
832,11.457418160859485,14.209059194431603
833,11.490127552833316,14.290304917995437
834,11.501567422162077,14.318774680799459
835,11.501062725864122,14.31751807398184
836,11.501441406389695,14.318460918074795
837,11.565585294572651,14.478615252184449
838,11.630614800477932,14.641890028159942
839,11.45625955913851,14.20618563114988
840,11.660424166675476,14.71704079216424
841,11.652297258658157,14.696533415214697
842,11.611172170614244,14.592977926891175
843,11.610484331454039,14.59124901886653
844,11.56963012604302,14.488744233613842
845,11.598137593115192,14.560232475660392
846,11.598080317998454,14.560088670338375
847,11.39540250341607,14.055656509974797
848,11.359128331636796,13.966314198041681
849,11.350578884692759,13.945298619389625
850,11.143951953917972,13.442197063634524
851,11.012682356922657,13.127378931622731
852,11.004492065245076,13.107860148109504
853,10.758160897592527,12.52759966127833
854,10.753751086518808,12.517331544672702
855,10.613844580575652,12.193748793230563
856,10.606758302823977,12.177472043537122
857,10.51661333818225,11.971363255943206
858,10.452637728840486,11.826155723114178
859,10.359579171260014,11.61651943763122
860,10.506408514017249,11.94814163863581
861,10.529527566582056,12.00078258288131
862,10.529416122161132,12.000528551885235
863,10.559446475116886,12.069078225249179
864,10.550117582648872,12.047762449256279
865,10.554873739131807,12.058627533768954
866,10.540284503412895,12.025315041568195
867,10.423598707515087,11.760537271467188
868,10.49878995812436,11.930819909490735
869,10.424449885241994,11.762458050725352
870,10.466149162660201,11.856749262934816
871,10.437817660944086,11.792644529539631
872,10.52302655751879,11.98596841165773
873,10.537244873706573,12.01838026968955
874,10.497893632375828,11.92878282814383
875,10.492424538832914,11.916356976356582
876,10.475749253438405,11.878510480162292
877,10.280443579505873,11.439722873037708
878,10.412162399514193,11.734745153382534
879,10.749197417711185,12.506732877567421
880,10.852619923149728,12.748555618771732
881,10.883648990734963,12.821559427681025
882,10.936856950980125,12.947229892781701
883,10.956080293886636,12.992783706450707
884,11.00033995739729,13.097970553739607
885,11.064940952395883,13.252261507546296
886,11.0533638403887,13.224544657682653
887,10.960260298117452,13.002699707367283
888,10.981582630483025,13.053340396427558
889,10.890774727783796,12.83835397327939
890,10.83872619960099,12.715934642567836
891,10.84135958984573,12.722114351423995
892,10.774632311645304,12.56599009777404
893,10.811627398860626,12.652429797443569
894,10.892623686479267,12.84271355316375
895,10.897965823929185,12.855313706592069
896,10.954427498472752,12.988863911602415
897,11.00388182450596,13.106406427495857
898,11.128026263133906,13.403804344815414
899,11.134098693429202,13.418436926267681
900,11.192987408423104,13.560753644589916
901,11.27248316364884,13.754062280151242
902,11.258385564627169,13.719681566525741
903,11.309046723624384,13.843432665698005
904,11.326916836174936,13.887216931319593
905,11.200911221220139,13.579960475387505
906,11.272450990570919,13.753983768632608
907,11.499937707820552,14.314717171360712
908,11.525319626054687,14.377975939322244
909,11.393324855537038,14.050531628644768
910,11.541127444519136,14.417443877656787
911,11.373634975057023,14.002009491934304
912,11.32575856200992,13.884376903021822
913,11.271901275076628,13.752642340111574
914,11.470115201601946,14.240569429506028
915,11.499425176929595,14.313441239013997
916,11.472452412919296,14.24637348821573
917,11.56860751158783,14.486183089595446
918,11.612460562336672,14.596216620592196
919,11.36687691356618,13.98537482263682
920,11.267286172153018,13.741383038782715
921,11.307971922422066,13.84080145700345
922,11.284131778774253,13.78250296291042
923,11.358019194478816,13.963586910997455
924,11.450146289282776,14.1910283148265
925,11.349584820886005,13.942856116721648
926,11.364098664832769,13.97853915408766
927,11.276933228008067,13.76492386987684
928,11.282270868465531,13.777957484801817
929,11.424796153479733,14.128261210127858
930,11.447887238556923,14.185429243941801
931,11.313100501146387,13.853358923046892
932,11.348650559908853,13.940560749896258
933,11.416296211273579,14.107246440245499
934,11.370228347754775,13.993622993785221
935,11.446518744005028,14.182037959257716
936,11.279225611447124,13.770520726768812
937,11.325290654232715,13.883229699732981
938,11.305620372665416,13.835045526703958
939,11.625394218177483,14.628748498193179
940,11.529205965651816,14.387674085667335
941,11.525611715882823,14.3787047197594
942,11.974444380139216,15.52038671069849
943,12.11597041504329,15.889425836728726
944,12.141815800581526,15.957287730522523
945,12.165659390576451,16.02002177569848
946,12.195995883917426,16.100016982917055
947,12.055673741428924,15.731667854771825
948,12.10806439744964,15.868695991753174
949,12.181677553948113,16.06223572465807
950,12.224451782222937,16.175234278948093
951,12.355826913796667,16.524770158712233
952,12.287514038672974,16.34255103836461
953,12.134468733753755,15.937981921527884
954,12.08786425577637,15.815791992142335
955,12.158339793408983,16.000750345049383
956,12.07842617284926,15.79110401109469
957,11.959967036797636,15.482880479875519
958,11.89787637836384,15.322537760419324
